row_id,gene,description,Diet,GOterms
16,AP4E1,product AP-4 complex subunit epsilon-1 isoform X2,ProteinUp,"GO:0030124,GO:0030117,GO:0015031,GO:0006886,GO:0016192"
17,APBB1,product amyloid beta precursor protein binding family B member 1,ProteinUp,"GO:0005634,GO:0005737,GO:0045202,GO:0043065,GO:0005886,GO:0003682,GO:0006974,GO:0045893,GO:0030426,GO:0031625,GO:0005783,GO:0042393,GO:0030027,GO:0070064,GO:0000122,GO:0001540"
18,ARHGAP18,"product Rho GTPase activating protein 18, transcript variant X4",ProteinUp,"GO:0005737,GO:0005829,GO:0005886,GO:0016607,GO:0005096,GO:0008360,GO:0032956,GO:0030833,GO:0007264,GO:0051056,GO:2000145,GO:0001726,GO:0005881,GO:0007165,GO:0007165"
19,ARHGEF9,product rho guanine nucleotide exchange factor 9 isoform X9,LipidUp,"GO:0005829,GO:0005085,GO:0005515"
20,ARID5B,product AT-rich interactive domain-containing protein 5B,LipidUp,"GO:0009791,GO:0003677,GO:0035264,GO:0008584,GO:0051091,GO:1990830,GO:0000122,GO:0006807,GO:0001822,GO:0060021,GO:0003713,GO:0045444,GO:0048705,GO:0048644,GO:0000976,GO:0030325,GO:0048468,GO:0010761,GO:0008585,GO:0048008,GO:0060325,GO:0060613,GO:0060612,GO:0005634,GO:0060612,GO:0051091,GO:0003713,GO:0005634,GO:0003677,GO:0060612,GO:0051091,GO:0003713,GO:0005634,GO:0003677"
21,ARMC10,product armadillo repeat-containing protein 10 isoform X2,ProteinUp,"GO:0005783,GO:0005739,GO:0005515"
22,ARNTL2,product aryl hydrocarbon receptor nuclear translocator-like protein 2 isoform X5,ProteinUp,"GO:0005654,GO:0045893,GO:0005730,GO:0005634,GO:0006357,GO:0003700,GO:0045944,GO:0070888,GO:0000981,GO:0000978,GO:0007623,GO:0042753,GO:0005737,GO:0005667,GO:0006355,GO:0046983,GO:1990513,GO:0032922,GO:0005737,GO:0005667,GO:0005634,GO:0003700,GO:0006355,GO:0046983,GO:0005737,GO:0005667,GO:0005634,GO:0003700,GO:0006355,GO:0046983"
23,ARSG,"product arylsulfatase G, transcript variant X3",LipidUp,"GO:0005615,GO:0005764,GO:0005783,GO:0004065,GO:0006790,GO:0008484,GO:0003824,GO:0033889"
24,ATG10,product ubiquitin-like-conjugating enzyme ATG10 isoform X2,ProteinUp,"GO:0006914,GO:0006983,GO:0032446,GO:0019787"
25,ATG7,product ubiquitin-like modifier-activating enzyme ATG7 isoform X2,ProteinUp,"GO:0008641,GO:0005737"
26,ATP1B3,product sodium/potassium-transporting ATPase subunit beta-3,ProteinUp,"GO:0005886,GO:0005737,GO:0051117,GO:0006883,GO:0001671,GO:0030007,GO:0032781,GO:0035725,GO:0036376,GO:0050821,GO:0071805,GO:0072659,GO:0086009,GO:1901018,GO:1903278,GO:1903288,GO:1990573,GO:0005890,GO:0036126,GO:0030674,GO:0006814,GO:0006813"
27,ATP5F1E,"product ATP synthase subunit epsilon, mitochondrial",ProteinUp,"GO:0000275,GO:0046933,GO:0015986"
28,ATP6V1H,product V-type proton ATPase subunit H,ProteinUp,"GO:0000221,GO:0006897,GO:0046961,GO:1902600,GO:0016020"
29,ATP8A1,product phospholipid-transporting ATPase IA isoform X4,ProteinUp,"GO:0016887,GO:0015914,GO:0140326,GO:0000287,GO:0000166,GO:0005524,GO:0016021,GO:0005215,GO:0016887,GO:0015914,GO:0140326,GO:0000287,GO:0000166,GO:0005524,GO:0016021,GO:0005215,GO:0016887,GO:0015914,GO:0140326,GO:0000287,GO:0000166,GO:0005524,GO:0016021,GO:0005215,GO:0016887,GO:0015914,GO:0140326,GO:0000287,GO:0000166,GO:0005524,GO:0016021,GO:0005215,GO:0005783,GO:0043231,GO:0005886,GO:0030335,GO:0005794,GO:0007612,GO:0031410,GO:0031090,GO:0061092,GO:0016887,GO:0015914,GO:0140326,GO:0000287,GO:0000166,GO:0005524,GO:0016021,GO:1990531,GO:0140346,GO:0140331,GO:0005215,GO:0016887,GO:0015914,GO:0140326,GO:0000287,GO:0000166,GO:0005524,GO:0016021,GO:0005215,GO:0016887,GO:0015914,GO:0140326,GO:0000287,GO:0000166,GO:0005524,GO:0016021,GO:0005215,GO:0016887,GO:0015914,GO:0140326,GO:0000287,GO:0000166,GO:0005524,GO:0016021,GO:0005215,GO:0016887,GO:0015914,GO:0140326,GO:0000287,GO:0000166,GO:0005524,GO:0016021,GO:0005215,GO:0016887,GO:0015914,GO:0140326,GO:0000287,GO:0000166,GO:0005524,GO:0016021,GO:0005215"
30,ATXN7L1,product ataxin-7-like protein 1 isoform X4,ProteinUp,
31,AVPI1,product arginine vasopressin-induced protein 1,LipidUp,
32,B3GNT5,"product UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5, transcript variant X9",LipidUp,"GO:0007417,GO:0008457,GO:0016758,GO:0006486,GO:0016020"
33,BACH2,product transcription regulator protein BACH2,LipidUp,"GO:0005829,GO:0005654,GO:0005634,GO:0000978,GO:0003677,GO:0006355,GO:0003700,GO:0001227,GO:0000122,GO:0051170,GO:0090721,GO:1990837,GO:0005515,GO:0090575"
34,BAHCC1,product LOW QUALITY PROTEIN: BAH and coiled-coil domain-containing protein 1,LipidUp,
35,BBS10,product Bardet-Biedl syndrome 10 protein,ProteinUp,
36,BCL11B,product B-cell lymphoma/leukemia 11B isoform X7,LipidUp,"GO:0045944,GO:0005634,GO:0010468,GO:0043565,GO:0009791,GO:0043005,GO:0003382,GO:0007409,GO:0008285,GO:0048538,GO:0000978,GO:0001228,GO:0042475,GO:0043588,GO:0006915,GO:0033077,GO:0006366,GO:0045664,GO:0021953,GO:0021902,GO:0016514,GO:0070233,GO:0070244,GO:0010837,GO:0003334,GO:0046632,GO:1990837,GO:0019216,GO:0097535,GO:0021773,GO:0031077,GO:0033153,GO:0043368,GO:0071678,GO:0035701,GO:0070242,GO:0070231"
37,BPGM,"product bisphosphoglycerate mutase, transcript variant X4",ProteinUp,"GO:0004619,GO:0006096,GO:0016868,GO:0004619,GO:0006096,GO:0016868,GO:0048821,GO:0042832,GO:0004619,GO:0006096,GO:0016868,GO:0004082,GO:0006753,GO:0015671,GO:0060856,GO:0150076"
38,BRICD5,product BRICHOS domain-containing protein 5,LipidUp,
39,CAPN10,"product calpain 10, transcript variant X4",ProteinUp,"GO:0032869,GO:0005829,GO:0005739,GO:0006508,GO:0046326,GO:0032024,GO:0097050,GO:0004198"
40,CASP7,product caspase-7,ProteinUp,"GO:0005634,GO:0005829,GO:0007507,GO:0006915,GO:0016485,GO:0004197,GO:0006508,GO:0009411,GO:0051402,GO:0044346,GO:0008233,GO:0004190,GO:0097194,GO:0097153,GO:0072734,GO:0097200,GO:0008234"
41,CBX8,product chromobox protein homolog 8,ProteinUp,
42,CCDC112,product coiled-coil domain-containing protein 112,ProteinUp,
43,CCDC166,product coiled-coil domain-containing protein 166,LipidUp,
44,CCDC17,product coiled-coil domain-containing protein 17,LipidUp,
45,CCDC61,product coiled-coil domain-containing protein 61,ProteinUp,"GO:0036064,GO:0008017,GO:0005813,GO:0042802,GO:0090307,GO:0034451,GO:0005815,GO:0098534,GO:0120103"
46,CCDC93,product coiled-coil domain-containing protein 93,ProteinUp,"GO:0043231,GO:0032456,GO:0006893"
47,CCND1,product G1/S-specific cyclin-D1,ProteinUp,
48,CCNE2,product G1/S-specific cyclin-E2 isoform X2,LipidUp,"GO:0032880,GO:0051726,GO:0007129,GO:0000723,GO:0006270,GO:0070192,GO:0016538,GO:0097135,GO:0000082,GO:0000082,GO:0051726"
49,CCR7,product C-C motif chemokine receptor 7,LipidUp,"GO:0005739,GO:0009986,GO:0009897,GO:0005886,GO:0006935,GO:0002606,GO:0071345,GO:0032735,GO:0016493,GO:0048872,GO:0032496,GO:0006955,GO:0045060,GO:0035757,GO:0035758,GO:0038117,GO:0038121,GO:0002408,GO:0002885,GO:0002922,GO:0032649,GO:0050862,GO:0090023,GO:0097029,GO:2000510,GO:2000522,GO:2000525,GO:2000526,GO:0032695,GO:0004950,GO:0006954,GO:0007186,GO:0004930,GO:0016021,GO:0032651"
50,CD109,"product CD109 molecule, transcript variant X2",ProteinUp,"GO:0006468,GO:0005829,GO:0005886,GO:0030512,GO:0001942,GO:0061045,GO:0010839,GO:0043616,GO:0001933,GO:0050431,GO:0072675,GO:0045616,GO:0004866,GO:0005576,GO:0005615,GO:0072089,GO:2000647"
51,CD2,product T-cell surface antigen CD2,LipidUp,
52,CD28,product T-cell-specific surface glycoprotein CD28 isoform X2,LipidUp,"GO:0010628,GO:0045944,GO:0005886,GO:0009986,GO:0010629,GO:0009897,GO:0032743,GO:0045060,GO:0042102,GO:0006366,GO:0014065,GO:0002863,GO:0014068,GO:0031295,GO:0045589,GO:0048304,GO:0050852,GO:0051897,GO:0097190,GO:0002020,GO:0019901,GO:0032733,GO:0032753,GO:0042110,GO:0045066,GO:0045840,GO:0001772,GO:0098636,GO:0042098,GO:0043491,GO:0042129,GO:0006955,GO:0016020,GO:0035739,GO:2000563"
53,CD4,product T-cell surface glycoprotein CD4,LipidUp,"GO:0015026,GO:0006955,GO:0016020,GO:0015026,GO:0006955,GO:0016020"
54,CD5,product T-cell surface glycoprotein CD5,LipidUp,"GO:0005044,GO:0016020"
55,CD6,product T-cell differentiation antigen CD6,LipidUp,"GO:0005044,GO:0016020,GO:0005044,GO:0016020,GO:0005044,GO:0016020"
56,CDK14,"product cyclin dependent kinase 14, transcript variant X5",LipidUp,"GO:0004672,GO:0005829,GO:0005654,GO:0005886,GO:0005634,GO:0005737,GO:0000086,GO:0030332,GO:0004693,GO:0060828,GO:0000308,GO:0005524,GO:0006468,GO:0000307,GO:0005524,GO:0006468,GO:0004672"
57,CELA1,product chymotrypsin-like elastase family member 1,LipidUp,
58,CEP131,product centrosomal protein of 131 kDa isoform X3,LipidUp,"GO:0043231,GO:0008284,GO:0036064,GO:0005813,GO:0045171,GO:0042803,GO:0035869,GO:0035735,GO:0015630,GO:0007286,GO:0090316,GO:0001669,GO:0044877,GO:1905515,GO:0010824,GO:0034451,GO:0042073,GO:0007288,GO:1905198,GO:0071539,GO:1990953,GO:0120212,GO:0035735"
59,CEP76,product centrosomal protein of 76 kDa isoform X2,ProteinUp,"GO:0005814,GO:0005813,GO:0032991,GO:0046599"
60,CHADL,"product chondroadherin like, transcript variant X2",ProteinUp,"GO:0062023,GO:0005518,GO:0098633,GO:0032331,GO:1904027,GO:0005515"
61,CHMP2B,product charged multivesicular body protein 2B,ProteinUp,"GO:0005737,GO:0005829,GO:0005886,GO:0019904,GO:0005770,GO:0007080,GO:0005764,GO:0005768,GO:0050890,GO:0070050,GO:0007032,GO:0006997,GO:0010824,GO:0039702,GO:1901673,GO:0000815,GO:0019076,GO:0007034,GO:0005765,GO:0097352,GO:0001778,GO:0006914,GO:0031468,GO:0043162,GO:0046761,GO:0060548,GO:0061952,GO:0071985,GO:1902774,GO:0000421,GO:0000776,GO:0005643,GO:0005828,GO:0030496,GO:0032585,GO:1904930"
62,CIAO2B,product cytosolic iron-sulfur assembly component 2B,ProteinUp,"GO:0106035,GO:0005634,GO:0005737,GO:0005829,GO:0005654,GO:0007059,GO:0005819,GO:0016226,GO:0097361,GO:0097428,GO:0071817"
63,CIPC,"product CLOCK interacting pacemaker, transcript variant X5",ProteinUp,"GO:0005634,GO:0005829,GO:0005654,GO:0005730,GO:0042754,GO:0045892"
64,CLBA1,product uncharacterized protein CLBA1,LipidUp,
65,CLCN6,product chloride voltage-gated channel 6,LipidUp,"GO:0005247,GO:0006821,GO:0016020,GO:0055085"
66,CLRN1,product clarin-1,ProteinUp,"GO:0060088,GO:0007015,GO:0005886,GO:0007605,GO:0032420,GO:0045494,GO:0050953,GO:0050957,GO:0030027,GO:0060117,GO:0005902,GO:0015630,GO:0045178,GO:0010592,GO:0050885,GO:0048870,GO:0030140"
67,CMC1,product C-X9-C motif containing 1,ProteinUp,
68,CNDP2,product cytosolic non-specific dipeptidase,ProteinUp,"GO:0070573,GO:0016787,GO:0005829,GO:0005654,GO:0006508,GO:0008233,GO:0016805,GO:0070573,GO:0016787"
69,COL9A3,product collagen type IX alpha 3 chain,ProteinUp,
70,COMT,"product catechol-O-methyltransferase, transcript variant X8",ProteinUp,"GO:0042135,GO:0006584,GO:0016206,GO:0008171,GO:0000287,GO:0042135,GO:0006584,GO:0016206,GO:0008171,GO:0000287,GO:0043231,GO:0042420,GO:0032259,GO:0016036,GO:0042417,GO:0016206,GO:0042424,GO:0042135,GO:0006584,GO:0008171,GO:0000287,GO:0042135,GO:0006584,GO:0016206,GO:0008171,GO:0000287"
71,COPRS,"product coordinator of PRMT5 and differentiation stimulator, transcript variant X7",ProteinUp,"GO:0043985,GO:0042393,GO:0005634"
72,COPS9,product LOW QUALITY PROTEIN: COP9 signalosome complex subunit 9,ProteinUp,
73,CPNE2,"product copine 2, transcript variant X4",ProteinUp,"GO:0005634,GO:0005737,GO:0005886,GO:0071277"
74,CPT1A,"product carnitine palmitoyltransferase 1A, transcript variant X2",ProteinUp,"GO:0005739,GO:0005741,GO:0030855,GO:0001676,GO:0004095,GO:1990698,GO:0009437,GO:0016746"
75,CRABP2,product cellular retinoic acid-binding protein 2,ProteinUp,"GO:0005737,GO:0005829,GO:0005654,GO:0005634,GO:0035115,GO:0042573,GO:0048672,GO:0001972,GO:0030332,GO:0005783,GO:0008289"
76,CRADD,product death domain-containing protein CRADD,ProteinUp,"GO:0005634,GO:0005737,GO:0043065,GO:0006919,GO:2001235,GO:0002020,GO:0070513,GO:0071260,GO:0097190,GO:0030674,GO:0006977,GO:0042981,GO:0007165,GO:0005515,GO:1905369"
77,CREB3L3,product LOW QUALITY PROTEIN: cyclic AMP-responsive element-binding protein 3-like protein 3,ProteinUp,"GO:0003700,GO:0006355,GO:0003677,GO:0030968,GO:0035497,GO:0045944,GO:0003700,GO:0006355,GO:0042802,GO:0001228,GO:0045944,GO:0000977,GO:0005634,GO:0016020,GO:0005783,GO:0046982,GO:0042803,GO:1990440,GO:0000976,GO:0030968,GO:0035497,GO:0003700,GO:0006355,GO:0003677,GO:0030968,GO:0035497,GO:0045944,GO:0003700,GO:0006355,GO:0003677,GO:0030968,GO:0035497,GO:0045944,GO:0003700,GO:0006355,GO:0003677,GO:0030968,GO:0035497,GO:0045944,GO:0003700,GO:0006355,GO:0003677"
78,CRYBB2,"product crystallin beta B2, transcript variant X2",ProteinUp,"GO:0042802,GO:0043010,GO:0007601,GO:0005212"
79,CRYGS,product gamma-crystallin S isoform X2,LipidUp,"GO:0002088,GO:0005212,GO:0002009"
80,CTBP2,"product C-terminal binding protein 2, transcript variant X2",LipidUp,"GO:0005634,GO:0045944,GO:0098978,GO:0003682,GO:0098982,GO:0044877,GO:0003714,GO:1990830,GO:0045892,GO:0003713,GO:0045202,GO:0050872,GO:0017053,GO:0097470,GO:0098684,GO:0099523,GO:0098831,GO:0019901,GO:0098882,GO:0035563,GO:0048386,GO:0042974,GO:0016081,GO:0051287,GO:0016616,GO:0001221,GO:0001222"
81,CTSD,product cathepsin D,ProteinUp,"GO:0045121,GO:0004175,GO:0005615,GO:0006508,GO:0008233,GO:0016787,GO:0005764,GO:0043280,GO:0000045,GO:0004190,GO:0043065,GO:0070001,GO:0042159,GO:0070201,GO:0005765,GO:0010008,GO:0006508,GO:0004190"
82,CTSL,"product cathepsin L, transcript variant X2",ProteinUp,"GO:0008234,GO:0006508,GO:0008234,GO:0006508"
83,CTTN,product src substrate cortactin isoform X4,ProteinUp,"GO:0005829,GO:0043231,GO:0005886,GO:0005737,GO:0005794,GO:0030838,GO:0008076,GO:0001726,GO:0005938,GO:0030027,GO:0005884,GO:0006886,GO:2001237,GO:0002102,GO:0045987,GO:0006930,GO:0097062,GO:0097191,GO:1990023,GO:0005522,GO:1903146,GO:0030863,GO:0030041,GO:0005515"
84,CUNH12orf75,product overexpressed in colon carcinoma 1 protein isoform X3,ProteinUp,
85,CUNH19orf12,product protein C19orf12 homolog isoform X3,LipidUp,
86,CUNH1orf167,product uncharacterized protein C1orf167 homolog isoform X3,ProteinUp,
87,CUNH1orf52,product UPF0690 protein C1orf52 homolog,LipidUp,
88,CUNH22orf15,product uncharacterized protein C22orf15 homolog,LipidUp,
89,CUNH5orf49,product uncharacterized protein C5orf49 homolog,LipidUp,GO:0036064
90,CUNH6orf120,product UPF0669 protein C6orf120 homolog,ProteinUp,
91,CWC27,product spliceosome-associated protein CWC27 homolog,ProteinUp,"GO:0005654,GO:0005634,GO:0071013,GO:0071005,GO:0000413,GO:0003755,GO:0006457"
92,DAP3,product death associated protein 3,ProteinUp,
93,DARS1,product aspartyl-tRNA synthetase 1,ProteinUp,"GO:0006422,GO:0004815,GO:0005829,GO:0005737,GO:0045202,GO:0017101,GO:0006418,GO:0004812,GO:0000166,GO:0003676,GO:0005524"
94,DCTN2,product dynactin subunit 2,ProteinUp,"GO:0042802,GO:0005829,GO:0005813,GO:0000776,GO:0007080,GO:0030507,GO:0031982,GO:0019901,GO:0007052,GO:0071539,GO:0005869,GO:0007017"
95,DDB2,product DNA damage-binding protein 2,ProteinUp,"GO:0005654,GO:0032991,GO:0030054,GO:0003684,GO:0004842,GO:0044877,GO:0080008,GO:0000209,GO:0051865,GO:0070914,GO:0006290,GO:0009411,GO:0035518,GO:0031465,GO:0090734,GO:0006289,GO:0005634,GO:0006281,GO:0005515"
96,DDIT4,product DNA damage-inducible transcript 4 protein,LipidUp,"GO:0009968,GO:0005737,GO:0005829,GO:0001666,GO:0005739,GO:0032007,GO:0042771,GO:0051607,GO:0072593,GO:0071549,GO:0045820,GO:0071889,GO:0032984"
97,DDX18,product DEAD-box helicase 18,ProteinUp,"GO:0005730,GO:0005694,GO:0003676,GO:0005524"
98,DECR1,"product 2,4-dienoyl-CoA reductase, mitochondrial",ProteinUp,"GO:0005829,GO:0005654,GO:0005739,GO:0042802,GO:0120162,GO:0006635,GO:0008670,GO:0070402,GO:1902494,GO:0016491"
99,DEK,product protein DEK,ProteinUp,"GO:0005654,GO:0005634,GO:0042393,GO:2001032,GO:0043292,GO:0006325,GO:0003677,GO:2000779,GO:0045945,GO:0110016"
100,DEPDC1,product DEP domain-containing protein 1A isoform X2,LipidUp,"GO:0005634,GO:0045892,GO:0017053,GO:0016702,GO:0035556,GO:0007165,GO:0035556,GO:0007165"
101,DHRS7,product dehydrogenase/reductase SDR family member 7,ProteinUp,"GO:0005789,GO:0004090,GO:0052650,GO:0016491,GO:0016616,GO:0016491"
102,DHTKD1,"product probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial",ProteinUp,"GO:0002244,GO:0005739,GO:0006091,GO:0006099,GO:0030976,GO:0004591,GO:0016624"
103,DHX35,product probable ATP-dependent RNA helicase DHX35 isoform X2,ProteinUp,"GO:0001701,GO:0071013,GO:0004386"
104,DIS3,product exosome complex exonuclease RRP44,LipidUp,"GO:0005829,GO:0005085,GO:0005654,GO:0016075,GO:0000176,GO:0071034,GO:0004519,GO:0000175,GO:0004540,GO:0003723,GO:0005634,GO:0006396,GO:0006401,GO:0004540,GO:0003723,GO:0004540,GO:0003723,GO:0004540,GO:0003723,GO:0004540,GO:0003723,GO:0004540,GO:0003723,GO:0004540,GO:0003723,GO:0004540,GO:0003723"
105,DLG5,product disks large homolog 5 isoform X4,ProteinUp,"GO:0030054,GO:0030336,GO:0036064,GO:0014069,GO:0045880,GO:0030901,GO:0005912,GO:0060441,GO:0035331,GO:0001837,GO:0060999,GO:0030859,GO:0045176,GO:0045186,GO:0045197,GO:0065003,GO:0071896,GO:0072205,GO:0008013,GO:0008092,GO:0030011,GO:0035332,GO:0042130,GO:0051965,GO:0060563,GO:0005515"
106,DMC1,product meiotic recombination protein DMC1/LIM15 homolog,LipidUp,"GO:0005634,GO:0042802,GO:0007283,GO:0001556,GO:0007286,GO:0005694,GO:0007276,GO:0000794,GO:0008094,GO:0001541,GO:0007129,GO:0048477,GO:0007141,GO:0000781,GO:0007131,GO:0000150,GO:0006259,GO:0006281,GO:0000166,GO:0003677,GO:0005524"
107,DNALI1,product dynein axonemal light intermediate chain 1,LipidUp,"GO:0005737,GO:0005929,GO:0005930,GO:0030175,GO:0031514,GO:0036126,GO:0097729,GO:0045504"
108,DPF3,product zinc finger protein DPF3 isoform X8,ProteinUp,"GO:0071565,GO:0008270,GO:0071565,GO:0008270,GO:0005654,GO:0007399,GO:0071565,GO:0008270,GO:0071565,GO:0008270,GO:0071565,GO:0008270"
109,DTNBP1,"product dystrobrevin binding protein 1, transcript variant X3",ProteinUp,"GO:0005634,GO:0005737,GO:0048813,GO:0098685,GO:0010628,GO:0005886,GO:0030426,GO:0098978,GO:0014069,GO:0043197,GO:2000300,GO:0015630,GO:0007596,GO:0032091,GO:0060155,GO:0071901,GO:0001956,GO:0006996,GO:0008089,GO:0014059,GO:0031175,GO:0031532,GO:0043506,GO:0048490,GO:0048812,GO:0005789,GO:0016528,GO:0030424,GO:0030496,GO:0030672,GO:0031083,GO:0032279,GO:0042383,GO:0043005,GO:0098686,GO:0005737"
110,DUSP16,product dual specificity protein phosphatase 16,ProteinUp,"GO:0005634,GO:0005737,GO:0005654,GO:0043409,GO:0006470,GO:0004721,GO:0016311,GO:0045204,GO:0016791,GO:0008432,GO:0043508,GO:0051019,GO:0048273,GO:0017017,GO:0008138"
111,DUT,"product deoxyuridine triphosphatase, transcript variant X3",ProteinUp,"GO:0005654,GO:0005634,GO:0046081,GO:0006226,GO:0004170,GO:0000287,GO:0006231"
112,EAPP,product E2F-associated phosphoprotein,ProteinUp,"GO:0005634,GO:0008284,GO:0034244,GO:0032968"
113,EARS2,"product probable glutamate--tRNA ligase, mitochondrial",LipidUp,"GO:0006424,GO:0000049,GO:0043039,GO:0004812,GO:0008270,GO:0000166,GO:0005524,GO:0006424,GO:0000049,GO:0043039,GO:0006418,GO:0004812,GO:0008270,GO:0000166,GO:0005524,GO:0005739,GO:0004818,GO:0050561,GO:0006424,GO:0070127,GO:0000049,GO:0043039,GO:0006418,GO:0004812,GO:0008270,GO:0000166,GO:0005524,GO:0006424,GO:0000049,GO:0043039,GO:0004812,GO:0008270,GO:0000166,GO:0005524"
114,EEF2KMT,product protein-lysine N-methyltransferase EEF2KMT isoform X3,ProteinUp,
115,EFHB,product EF-hand domain family member B,ProteinUp,
116,EFL1,"product elongation factor like GTPase 1, transcript variant X3",ProteinUp,"GO:0003924,GO:0046039,GO:0042256,GO:0043022,GO:0005525"
117,EIF1B,"product eukaryotic translation initiation factor 1B, transcript variant X2",ProteinUp,"GO:0006413,GO:0003743"
118,EIF2AK4,product LOW QUALITY PROTEIN: eIF-2-alpha kinase GCN2,ProteinUp,"GO:0010998,GO:0004694,GO:0000077,GO:0005524,GO:0006468,GO:0004672,GO:0005515,GO:0010998,GO:0004694,GO:0034198,GO:0070417,GO:0036492,GO:0000077,GO:0005524,GO:0006468,GO:0004672,GO:0005515,GO:0140469,GO:0000077,GO:0034198,GO:0036492,GO:0070417,GO:0140469,GO:0003743,GO:0004694,GO:0005524"
119,ELK4,product LOW QUALITY PROTEIN: ETS domain-containing protein Elk-4,LipidUp,"GO:0005829,GO:0005654,GO:0003682,GO:0000122,GO:0000978,GO:0001228,GO:0045944,GO:1990837,GO:0043565,GO:0003700,GO:0006355,GO:0070932"
120,ENY2,product transcription and mRNA export factor ENY2,ProteinUp,"GO:0005654,GO:0005739,GO:0045893,GO:0044615,GO:0003713,GO:0030374,GO:0016578,GO:0070390,GO:0016973,GO:0000124,GO:0071819,GO:0006406,GO:0005643,GO:0006357,GO:0035521,GO:0035522,GO:0043966"
121,EPM2A,product laforin isoform X2,ProteinUp,"GO:0005737,GO:0005829,GO:0005654,GO:0005634,GO:0010468,GO:0030246,GO:0042802,GO:0042803,GO:0005844,GO:0004721,GO:0004725,GO:0035335,GO:0033137,GO:0006470,GO:0016791,GO:0007399,GO:0010629,GO:0001932,GO:0015813,GO:0030425,GO:0006816,GO:0004722,GO:0005977,GO:0001558,GO:0042306,GO:0016055,GO:0045859,GO:0043161,GO:0000045,GO:0005978,GO:0006914,GO:0007005,GO:0014009,GO:0016239,GO:0031396,GO:0042325,GO:0044260,GO:0045786,GO:0046959,GO:0061136,GO:1903076,GO:1904666,GO:2000465,GO:0004373,GO:0019203,GO:0030247,GO:2001069,GO:2001070,GO:0046835,GO:0046838,GO:0043204,GO:0098554,GO:0098556,GO:0008138,GO:0016311"
